"14020: First time registered vehicles, by type of registration, month and contents"

"type of registration";"month";"Private cars";"Vans and motorhomes";"Lorries"
"New vehicles";"2010M06";11412;2315;351
"New vehicles";"2010M07";11790;1956;214
"New vehicles";"2010M08";10721;2303;210
"New vehicles";"2010M09";11461;2241;289
"New vehicles";"2010M10";10912;2070;320
"New vehicles";"2010M11";12140;2458;284
"New vehicles";"2010M12";10508;2501;295
"New vehicles";"2011M01";10708;2317;318
"New vehicles";"2011M02";10827;2337;284
"New vehicles";"2011M03";13248;2963;346
"New vehicles";"2011M04";11638;2470;278
"New vehicles";"2011M05";13344;3192;389
"New vehicles";"2011M06";10579;2686;364
"New vehicles";"2011M07";11404;2282;295
"New vehicles";"2011M08";11726;2728;272
"New vehicles";"2011M09";12008;2737;360
"New vehicles";"2011M10";11780;2734;392
"New vehicles";"2011M11";12628;3308;373
"New vehicles";"2011M12";11852;3731;324
"New vehicles";"2012M01";11086;2093;390
"New vehicles";"2012M02";11184;2577;391
"New vehicles";"2012M03";13284;3043;395
"New vehicles";"2012M04";11065;2502;299
"New vehicles";"2012M05";12814;2743;409
"New vehicles";"2012M06";11235;2480;449
"New vehicles";"2012M07";12086;2161;308
"New vehicles";"2012M08";11973;2999;354
"New vehicles";"2012M09";11280;2502;428
"New vehicles";"2012M10";12544;2830;473
"New vehicles";"2012M11";12105;2597;451
"New vehicles";"2012M12";9459;2530;371
"New vehicles";"2013M01";11804;2666;390
"New vehicles";"2013M02";11433;2366;333
"New vehicles";"2013M03";10850;2512;298
"New vehicles";"2013M04";14184;3300;425
"New vehicles";"2013M05";12066;2495;390
"New vehicles";"2013M06";10982;2628;396
"New vehicles";"2013M07";11328;2176;314
"New vehicles";"2013M08";11684;2655;358
"New vehicles";"2013M09";12204;2305;362
"New vehicles";"2013M10";12941;2604;450
"New vehicles";"2013M11";12113;2317;433
"New vehicles";"2013M12";11496;3130;552
"New vehicles";"2014M01";11410;1967;372
"New vehicles";"2014M02";11265;2232;379
"New vehicles";"2014M03";13895;2801;427
"New vehicles";"2014M04";12128;2670;440
"New vehicles";"2014M05";12362;2708;420
"New vehicles";"2014M06";11465;2586;418
"New vehicles";"2014M07";11712;1975;283
"New vehicles";"2014M08";11458;2859;362
"New vehicles";"2014M09";11604;2417;427
"New vehicles";"2014M10";12986;2797;435
"New vehicles";"2014M11";11505;2557;362
"New vehicles";"2014M12";12667;2631;376
"New vehicles";"2015M01";10547;2279;374
"New vehicles";"2015M02";10686;2481;341
"New vehicles";"2015M03";14193;2920;370
"New vehicles";"2015M04";12803;2981;378
"New vehicles";"2015M05";12055;2784;398
"New vehicles";"2015M06";14228;2709;450
"New vehicles";"2015M07";12416;2196;268
"New vehicles";"2015M08";12621;2624;339
"New vehicles";"2015M09";12446;2478;421
"New vehicles";"2015M10";13215;2932;416
"New vehicles";"2015M11";12618;3032;388
"New vehicles";"2015M12";13089;4460;250
"New vehicles";"2016M01";11014;1898;428
"New vehicles";"2016M02";12242;2511;323
"New vehicles";"2016M03";13894;2821;374
"New vehicles";"2016M04";14142;3228;466
"New vehicles";"2016M05";12886;2706;475
